"","Date","Recorder","Site","Block","Plot","Quadrant","Species","Cover","Notes","survey"
"726","26/6/2024","BB","Boothby","NW",312,3,"Stachys_sylvatica",5,"","A"
"727","26/6/2024","BB","Boothby","NW",312,3,"Epilobium_parviflorum",15,"","A"
"728","26/6/2024","BB","Boothby","NW",312,3,"Galium_aparine",15,"","A"
"729","26/6/2024","BB","Boothby","NW",312,3,"Sonchus_asper",10,"","A"
"731","26/6/2024","BB","Boothby","NW",312,4,"Vicia_faba",45,"","A"
"732","26/6/2024","BB","Boothby","NW",312,4,"Poa_trivialis",10,"","A"
"733","26/6/2024","BB","Boothby","NW",312,4,"Alopecurus_myosuroides",3,"","A"
"734","26/6/2024","BB","Boothby","NW",312,4,"Epilobium_ciliatum",3,"","A"
"735","26/6/2024","BB","Boothby","NW",312,4,"Epilobium_hirsutum",10,"","A"
"736","26/6/2024","BB","Boothby","NW",312,4,"Epilobium_parviflorum",4,"","A"
"737","26/6/2024","BB","Boothby","NW",312,4,"Cirsium_discolor",5,"","A"
"738","26/6/2024","BB","Boothby","NW",312,4,"Helminthotheca_echiodes",3,"","A"
"739","26/6/2024","BB","Boothby","NW",312,4,"Triticum_aestivum",2,"","A"
"741","27/6/2024","TM","Boothby","C",133,1,"Bromus_hordeaceus",30,"","A"
"742","27/6/2024","TM","Boothby","C",133,1,"Triticum_aestivum",50,"","A"
"743","27/6/2024","TM","Boothby","C",133,1,"Thymus_pulegioides",1,"Large thyme","A"
"745","27/6/2024","TM","Boothby","C",133,2,"Bromus_hordeaceus",40,"","A"
"746","27/6/2024","TM","Boothby","C",133,2,"Triticum_aestivum",45,"","A"
"748","27/6/2024","TM","Boothby","C",133,3,"Bromus_hordeaceus",25,"","A"
"749","27/6/2024","TM","Boothby","C",133,3,"Triticum_aestivum",40,"","A"
"750","27/6/2024","TM","Boothby","C",133,3,"Epilobium_tetragonum",3,"","A"
"753","27/6/2024","TM","Boothby","C",133,4,"Bromus_hordeaceus",30,"","A"
"754","27/6/2024","TM","Boothby","C",133,4,"Triticum_aestivum",45,"","A"
"755","27/6/2024","TM","Boothby","C",133,4,"Epilobium_coloratum",5,"","A"
"757","27/6/2024","TM","Boothby","C",113,1,"Triticum_aestivum",20,"","A"
"758","27/6/2024","TM","Boothby","C",113,1,"Sonchus_arvensis",5,"","A"
"759","27/6/2024","TM","Boothby","C",113,1,"Polygonum_aviculare",10,"","A"
"760","27/6/2024","TM","Boothby","C",113,1,"Atriplex_patula",3,"","A"
"761","27/6/2024","TM","Boothby","C",113,1,"Senecio_vulgaris",3,"","A"
"763","27/6/2024","TM","Boothby","C",113,2,"Triticum_aestivum",25,"","A"
"764","27/6/2024","TM","Boothby","C",113,2,"Borago_pygmaea",5,"","A"
"765","27/6/2024","TM","Boothby","C",113,2,"Polygonum_aviculare",5,"","A"
"766","27/6/2024","TM","Boothby","C",113,2,"Epilobium_tetragonum",8,"","A"
"768","27/6/2024","TM","Boothby","C",113,3,"Triticum_aestivum",35,"","A"
"769","27/6/2024","TM","Boothby","C",113,3,"Atriplex_patula",15,"","A"
"770","27/6/2024","TM","Boothby","C",113,3,"Senecio_vulgaris",3,"","A"
"772","27/6/2024","TM","Boothby","C",113,4,"Triticum_aestivum",30,"","A"
"773","27/6/2024","TM","Boothby","C",113,4,"Persicaria_lapathifolia",15,"","A"
"774","27/6/2024","TM","Boothby","C",113,4,"Senecio_vulgaris",1,"","A"
"776","27/6/2024","TM","Boothby","C",111,1,"Alopecurus_myosuroides",20,"","A"
"777","27/6/2024","TM","Boothby","C",111,1,"Bromus_hordeaceus",10,"","A"
"778","27/6/2024","TM","Boothby","C",111,1,"Epilobium_coloratum",30,"","A"
"779","27/6/2024","TM","Boothby","C",111,1,"Epilobium_hirsutum",5,"","A"
"780","27/6/2024","TM","Boothby","C",111,1,"Epilobium_tetragonum",15,"","A"
"781","27/6/2024","TM","Boothby","C",111,1,"Sonchus_arvensis",3,"","A"
"783","27/6/2024","TM","Boothby","C",111,2,"Alopecurus_myosuroides",35,"","A"
"784","27/6/2024","TM","Boothby","C",111,2,"Epilobium_coloratum",30,"","A"
"785","27/6/2024","TM","Boothby","C",111,2,"Epilobium_hirsutum",10,"","A"
"786","27/6/2024","TM","Boothby","C",111,2,"Epilobium_tetragonum",5,"","A"
"788","27/6/2024","TM","Boothby","C",111,3,"Alopecurus_myosuroides",10,"","A"
"789","27/6/2024","TM","Boothby","C",111,3,"Bromus_hordeaceus",2,"","A"
"790","27/6/2024","TM","Boothby","C",111,3,"Epilobium_coloratum",20,"","A"
"791","27/6/2024","TM","Boothby","C",111,3,"Epilobium_hirsutum",5,"","A"
"792","27/6/2024","TM","Boothby","C",111,3,"Epilobium_tetragonum",45,"","A"
"793","27/6/2024","TM","Boothby","C",111,3,"Cirsium_discolor",4,"","A"
"794","27/6/2024","TM","Boothby","C",111,3,"Epilobium_parviflorum",2,"","A"
"796","27/6/2024","TM","Boothby","C",111,4,"Alopecurus_myosuroides",15,"","A"
"797","27/6/2024","TM","Boothby","C",111,4,"Bromus_hordeaceus",1,"","A"
"798","27/6/2024","TM","Boothby","C",111,4,"Epilobium_coloratum",15,"","A"
"799","27/6/2024","TM","Boothby","C",111,4,"Epilobium_hirsutum",2,"","A"
"800","27/6/2024","TM","Boothby","C",111,4,"Epilobium_tetragonum",30,"","A"
"801","27/6/2024","TM","Boothby","C",111,4,"Sonchus_arvensis",20,"","A"
"803","27/6/2024","TM","Boothby","C",112,1,"Bromus_hordeaceus",30,"","A"
"804","27/6/2024","TM","Boothby","C",112,1,"Epilobium_coloratum",5,"","A"
"805","27/6/2024","TM","Boothby","C",112,1,"Poa_pratensis",25,"","A"
"806","27/6/2024","TM","Boothby","C",112,1,"Epilobium_tetragonum",20,"","A"
"807","27/6/2024","TM","Boothby","C",112,1,"Epilobium_parviflorum",5,"","A"
"808","27/6/2024","TM","Boothby","C",112,1,"Hieracium_vulgatum",2,"","A"
"810","27/6/2024","TM","Boothby","C",112,2,"Bromus_hordeaceus",25,"","A"
"811","27/6/2024","TM","Boothby","C",112,2,"Epilobium_coloratum",8,"","A"
"812","27/6/2024","TM","Boothby","C",112,2,"Epilobium_tetragonum",10,"","A"
"813","27/6/2024","TM","Boothby","C",112,2,"Epilobium_parviflorum",7,"","A"
"814","27/6/2024","TM","Boothby","C",112,2,"Tripleurospermum_inodorum",1,"","A"
"815","27/6/2024","TM","Boothby","C",112,2,"Alopecurus_myosuroides",10,"","A"
"817","27/6/2024","TM","Boothby","C",112,3,"Bromus_hordeaceus",15,"","A"
"818","27/6/2024","TM","Boothby","C",112,3,"Epilobium_coloratum",5,"","A"
"819","27/6/2024","TM","Boothby","C",112,3,"Epilobium_tetragonum",25,"","A"
"820","27/6/2024","TM","Boothby","C",112,3,"Epilobium_parviflorum",10,"","A"
"821","27/6/2024","TM","Boothby","C",112,3,"Epilobium_hirsutum",25,"","A"
"822","27/6/2024","TM","Boothby","C",112,3,"Hieracium_vulgatum",1,"","A"
"824","27/6/2024","TM","Boothby","C",112,4,"Bromus_hordeaceus",8,"","A"
"825","27/6/2024","TM","Boothby","C",112,4,"Epilobium_coloratum",10,"","A"
"826","27/6/2024","TM","Boothby","C",112,4,"Epilobium_tetragonum",10,"","A"
"827","27/6/2024","TM","Boothby","C",112,4,"Epilobium_parviflorum",5,"","A"
"828","27/6/2024","TM","Boothby","C",112,4,"Tripleurospermum_inodorum",1,"","A"
"829","27/6/2024","TM","Boothby","C",112,4,"Poa_pratensis",1,"","A"
"830","27/6/2024","TM","Boothby","C",112,4,"Alopecurus_myosuroides",5,"","A"
"831","27/6/2024","TM","Boothby","C",112,4,"Sonchus_arvensis",1,"","A"
"833","27/6/2024","TM","Boothby","C",121,1,"Rumex_obtusifolius",10,"","A"
"834","27/6/2024","TM","Boothby","C",121,1,"Poa_pratensis",60,"","A"
"835","27/6/2024","TM","Boothby","C",121,1,"Bromus_hordeaceus",5,"","A"
"836","27/6/2024","TM","Boothby","C",121,1,"Holcus_lanatus",15,"","A"
"837","27/6/2024","TM","Boothby","C",121,1,"Ranunculus_repens",2,"","A"
"838","27/6/2024","TM","Boothby","C",121,1,"Sonchus_arvensis",5,"","A"
"839","27/6/2024","TM","Boothby","C",121,1,"Hypericum_humifusum",1,"","A"
"841","27/6/2024","TM","Boothby","C",121,2,"Poa_pratensis",15,"","A"
"842","27/6/2024","TM","Boothby","C",121,2,"Holcus_lanatus",25,"","A"
"843","27/6/2024","TM","Boothby","C",121,2,"Dactylis_glomerata",10,"","A"
"844","27/6/2024","TM","Boothby","C",121,2,"Ranunculus_repens",3,"","A"
"845","27/6/2024","TM","Boothby","C",121,2,"Urtica_dioica",7,"","A"
"846","27/6/2024","TM","Boothby","C",121,2,"Fraxinus_pennsylvanica",20,"","A"
"847","27/6/2024","TM","Boothby","C",121,2,"Arrhenatherum_elatius",15,"","A"
"849","27/6/2024","TM","Boothby","C",121,3,"Poa_pratensis",70,"","A"
"850","27/6/2024","TM","Boothby","C",121,3,"Arrhenatherum_elatius",15,"","A"
"851","27/6/2024","TM","Boothby","C",121,3,"Holcus_lanatus",20,"","A"
"852","27/6/2024","TM","Boothby","C",121,3,"Ranunculus_repens",2,"","A"
"854","27/6/2024","TM","Boothby","C",121,4,"Poa_pratensis",10,"","A"
"855","27/6/2024","TM","Boothby","C",121,4,"Poa_trivialis",10,"","A"
"856","27/6/2024","TM","Boothby","C",121,4,"Holcus_lanatus",8,"","A"
"857","27/6/2024","TM","Boothby","C",121,4,"Phleum_pratense",2,"","A"
"858","27/6/2024","TM","Boothby","C",121,4,"Dactylis_glomerata",5,"","A"
"859","27/6/2024","TM","Boothby","C",121,4,"Ranunculus_repens",15,"","A"
"860","27/6/2024","TM","Boothby","C",121,4,"Arrhenatherum_elatius",10,"","A"
"862","27/6/2024","TM","Boothby","C",122,1,"Rumex_obtusifolius",7,"","A"
"863","27/6/2024","TM","Boothby","C",122,1,"Urtica_dioica",2,"","A"
"864","27/6/2024","TM","Boothby","C",122,1,"Dryopteris_carthusiana_",10,"","A"
"865","27/6/2024","TM","Boothby","C",122,1,"Geranium_robertianum",5,"","A"
"866","27/6/2024","TM","Boothby","C",122,1,"Rosa_multiflora_",7,"","A"
"867","27/6/2024","TM","Boothby","C",122,1,"Myosotis_scorpioides",1,"","A"
"868","27/6/2024","TM","Boothby","C",122,1,"Stachys_sylvatica",15,"","A"
"869","27/6/2024","TM","Boothby","C",122,1,"Galium_aparine",6,"","A"
"870","27/6/2024","TM","Boothby","C",122,1,"Brachypodium_sylvaticum",21,"","A"
"872","27/6/2024","TM","Boothby","C",122,2,"Rumex_obtusifolius",10,"","A"
"873","27/6/2024","TM","Boothby","C",122,2,"Urtica_dioica",15,"","A"
"874","27/6/2024","TM","Boothby","C",122,2,"Athyrium_filix-femina",9,"Lady fern","A"
"875","27/6/2024","TM","Boothby","C",122,2,"Stachys_sylvatica",8,"","A"
"876","27/6/2024","TM","Boothby","C",122,2,"Poa_nemoralis",20,"Wood bluegrass","A"
"877","27/6/2024","TM","Boothby","C",122,2,"Angelica_sylvestris",8,"Wild angelica","A"
"878","27/6/2024","TM","Boothby","C",122,2,"Circaea_lutetiana",5,"broad-leaved enchanter's nightshade","A"
"879","27/6/2024","TM","Boothby","C",122,2,"Cirsium_dissectum",4,"","A"
"880","27/6/2024","TM","Boothby","C",122,2,"Ajuga_reptans",1,"","A"
"881","27/6/2024","TM","Boothby","C",122,2,"Galium_aparine",5,"","A"
"882","27/6/2024","TM","Boothby","C",122,2,"Myosotis_scorpioides",3,"","A"
"883","27/6/2024","TM","Boothby","C",122,2,"Rubus_pruinosus",4,"","A"
"884","27/6/2024","TM","Boothby","C",122,3,"Rumex_obtusifolius",3,"","A"
"885","27/6/2024","TM","Boothby","C",122,3,"Urtica_dioica",10,"","A"
"886","27/6/2024","TM","Boothby","C",122,3,"Athyrium_filix-femina",20,"","A"
"887","27/6/2024","TM","Boothby","C",122,3,"Geranium_robertianum",5,"","A"
"888","27/6/2024","TM","Boothby","C",122,3,"Stachys_sylvatica",15,"","A"
"889","27/6/2024","TM","Boothby","C",122,3,"Galium_aparine",10,"","A"
"890","27/6/2024","TM","Boothby","C",122,3,"Rubus_pruinosus",2,"","A"
"891","27/6/2024","TM","Boothby","C",122,3,"Brachypodium_sylvaticum",15,"","A"
"892","27/6/2024","TM","Boothby","C",122,3,"Ajuga_reptans",6,"","A"
"894","27/6/2024","TM","Boothby","C",122,3,"Fraxinus_excelsior",1,"","A"
"896","27/6/2024","TM","Boothby","C",122,4,"Rumex_obtusifolius",5,"","A"
"897","27/6/2024","TM","Boothby","C",122,4,"Urtica_dioica",9,"","A"
"898","27/6/2024","TM","Boothby","C",122,4,"Athyrium_filix-femina",12,"","A"
"899","27/6/2024","TM","Boothby","C",122,4,"Stachys_sylvatica",13,"","A"
"900","27/6/2024","TM","Boothby","C",122,4,"Galium_aparine",3,"","A"
"901","27/6/2024","TM","Boothby","C",122,4,"Ajuga_reptans",4,"","A"
"902","27/6/2024","TM","Boothby","C",122,4,"Geum_macrophyllum",1,"","A"
"903","27/6/2024","TM","Boothby","C",122,4,"Quercus_Robur",4,"","A"
"904","27/6/2024","TM","Boothby","C",122,4,"Cirsium_dissectum",8,"","A"
"905","27/6/2024","TM","Boothby","C",122,4,"Circaea_lutetiana",6,"","A"
"907","27/6/2024","BB","Boothby","C",123,1,"Centaurea_nigrescenes",5,"","A"
"908","27/6/2024","BB","Boothby","C",123,1,"Rubus_pruinosus",30,"","A"
"909","27/6/2024","BB","Boothby","C",123,1,"Rubus_caesius",40,"","A"
"910","27/6/2024","BB","Boothby","C",123,1,"Geum_macrophyllum",2,"","A"
"911","27/6/2024","BB","Boothby","C",123,1,"Geranium_purpureum",2,"","A"
"913","27/6/2024","BB","Boothby","C",123,2,"Rubus_pruinosus",35,"","A"
"914","27/6/2024","BB","Boothby","C",123,2,"Brachypodium_sylvaticum",30,"","A"
"915","27/6/2024","BB","Boothby","C",123,2,"Geranium_purpureum",6,"","A"
"916","27/6/2024","BB","Boothby","C",123,2,"Rubus_fruticosus",15,"","A"
"918","27/6/2024","BB","Boothby","C",123,3,"Rubus_pruinosus",20,"","A"
"919","27/6/2024","BB","Boothby","C",123,3,"Brachypodium_sylvaticum",50,"","A"
"920","27/6/2024","BB","Boothby","C",123,3,"Rubus_caesius",5,"","A"
"921","27/6/2024","BB","Boothby","C",123,3,"Fraxinus_excelsior",1,"","A"
"923","27/6/2024","BB","Boothby","C",123,4,"Rubus_caesius",15,"","A"
"924","27/6/2024","BB","Boothby","C",123,4,"Rubus_fruticosus",30,"","A"
"925","27/6/2024","BB","Boothby","C",123,4,"Geum_macrophyllum",5,"","A"
"926","27/6/2024","BB","Boothby","C",123,4,"Brachypodium_sylvaticum",30,"","A"
"928","27/6/2024","BB","Boothby","C",213,1,"Bromus_hordeaceus",3,"","A"
"929","27/6/2024","BB","Boothby","C",213,1,"Avena_fatua",3,"","A"
"930","27/6/2024","BB","Boothby","C",213,1,"Hypochaeris_glabra",2,"","A"
"931","27/6/2024","BB","Boothby","C",213,1,"Epilobium_hirsutum",2,"","A"
"932","27/6/2024","BB","Boothby","C",213,1,"Epilobium_tetragonum",1,"","A"
"933","27/6/2024","BB","Boothby","C",213,1,"Senecio_vulgaris",2,"","A"
"935","27/6/2024","BB","Boothby","C",213,2,"Bromus_hordeaceus",10,"","A"
"936","27/6/2024","BB","Boothby","C",213,2,"Sonchus_arvensis",4,"","A"
"937","27/6/2024","BB","Boothby","C",213,2,"Sonchus_asper",3,"","A"
"939","27/6/2024","BB","Boothby","C",213,3,"Bromus_hordeaceus",5,"","A"
"940","27/6/2024","BB","Boothby","C",213,3,"Avena_fatua",3,"","A"
"941","27/6/2024","BB","Boothby","C",213,3,"Epilobium_tetragonum",2,"","A"
"942","27/6/2024","BB","Boothby","C",213,3,"Alopecurus_myosuroides",5,"","A"
"944","27/6/2024","BB","Boothby","C",213,4,"Bromus_hordeaceus",5,"","A"
"945","27/6/2024","BB","Boothby","C",213,4,"Avena_fatua",8,"","A"
"946","27/6/2024","BB","Boothby","C",213,4,"Epilobium_tetragonum",4,"","A"
"947","27/6/2024","BB","Boothby","C",213,4,"Epilobium_ciliatum",2,"","A"
"948","27/6/2024","BB","Boothby","C",213,4,"Senecio_vulgaris",1,"","A"
"950","27/6/2024","BB","Boothby","C",212,1,"Epilobium_ciliatum",3,"","A"
"951","27/6/2024","BB","Boothby","C",212,1,"Bromus_hordeaceus",5,"","A"
"952","27/6/2024","BB","Boothby","C",212,1,"Hypochaeris_glabra",2,"","A"
"953","27/6/2024","BB","Boothby","C",212,1,"Epilobium_tetragonum",2,"","A"
"955","27/6/2024","BB","Boothby","C",212,2,"Epilobium_ciliatum",5,"","A"
"956","27/6/2024","BB","Boothby","C",212,2,"Bromus_hordeaceus",7,"","A"
"957","27/6/2024","BB","Boothby","C",212,2,"Epilobium_tetragonum",3,"","A"
"959","27/6/2024","BB","Boothby","C",212,2,"Fraxinus_excelsior",1,"","A"
"960","27/6/2024","BB","Boothby","C",212,2,"Hypochaeris_glabra",2,"","A"
"961","27/6/2024","BB","Boothby","C",212,3,"Epilobium_ciliatum",15,"","A"
"962","27/6/2024","BB","Boothby","C",212,3,"Bromus_hordeaceus",5,"","A"
"963","27/6/2024","BB","Boothby","C",212,3,"Epilobium_tetragonum",7,"","A"
"964","27/6/2024","BB","Boothby","C",212,3,"Cirsium_vulgare",7,"","A"
"967","27/6/2024","BB","Boothby","C",212,4,"Epilobium_ciliatum",9,"","A"
"968","27/6/2024","BB","Boothby","C",212,4,"Bromus_hordeaceus",15,"","A"
"969","27/6/2024","BB","Boothby","C",212,4,"Epilobium_tetragonum",5,"","A"
"970","27/6/2024","BB","Boothby","C",212,4,"Senecio_sylvaticus",12,"","A"
"971","27/6/2024","BB","Boothby","C",212,4,"Cirsium_vulgare",2,"","A"
"972","27/6/2024","BB","Boothby","C",212,4,"Epilobium_parviflorum",4,"","A"
"974","27/6/2024","BB","Boothby","C",211,1,"Cirsium_vulgare",15,"","A"
"975","27/6/2024","BB","Boothby","C",211,1,"Quercus_robur",1,"","A"
"976","27/6/2024","BB","Boothby","C",211,1,"Poa_pratensis",30,"","A"
"977","27/6/2024","BB","Boothby","C",211,1,"Lolium_perenne",2,"","A"
"978","27/6/2024","BB","Boothby","C",211,1,"Bromus_hordeaceus",35,"","A"
"979","27/6/2024","BB","Boothby","C",211,1,"Holcus_lanatus",1,"","A"
"981","27/6/2024","BB","Boothby","C",211,2,"Poa_pratensis",40,"","A"
"982","27/6/2024","BB","Boothby","C",211,2,"Bromus_hordeaceus",45,"","A"
"983","27/6/2024","BB","Boothby","C",211,2,"Triticum_aestivum",1,"","A"
"985","27/6/2024","BB","Boothby","C",211,3,"Poa_pratensis",30,"","A"
"986","27/6/2024","BB","Boothby","C",211,3,"Bromus_hordeaceus",55,"","A"
"987","27/6/2024","BB","Boothby","C",211,3,"Epilobium_tetragonum",1,"","A"
"989","27/6/2024","BB","Boothby","C",211,4,"Poa_pratensis",25,"","A"
"990","27/6/2024","BB","Boothby","C",211,4,"Bromus_hordeaceus",20,"","A"
"992","27/6/2024","BB","Boothby","C",233,1,"Epilobium_tetragonum",2,"","A"
"993","27/6/2024","BB","Boothby","C",233,1,"Helminthotheca_echioides",8,"","A"
"994","27/6/2024","BB","Boothby","C",233,1,"Sonchus_asper",3,"","A"
"995","27/6/2024","BB","Boothby","C",233,1,"Agrostis_stolonifera",30,"","A"
"996","27/6/2024","BB","Boothby","C",233,1,"Poa_trivialis",40,"","A"
"998","27/6/2024","BB","Boothby","C",233,2,"Epilobium_tetragonum",2,"","A"
"999","27/6/2024","BB","Boothby","C",233,2,"Sonchus_asper",8,"","A"
"1000","27/6/2024","BB","Boothby","C",233,2,"Senecio_sylvaticus",20,"","A"
"1001","27/6/2024","BB","Boothby","C",233,2,"Cirsium_vulgare",5,"","A"
"1003","27/6/2024","BB","Boothby","C",233,3,"Epilobium_tetragonum",5,"","A"
"1004","27/6/2024","BB","Boothby","C",233,3,"Helminthotheca_echioides",15,"","A"
"1005","27/6/2024","BB","Boothby","C",233,3,"Sonchus_asper",7,"","A"
"1006","27/6/2024","BB","Boothby","C",233,3,"Epilobium_hirsutum",6,"","A"
"1007","27/6/2024","BB","Boothby","C",233,3,"Hirschfeldia_incana",2,"","A"
"1009","27/6/2024","BB","Boothby","C",233,4,"Epilobium_tetragonum",15,"","A"
"1010","27/6/2024","BB","Boothby","C",233,4,"Sonchus_asper",7,"","A"
"1011","27/6/2024","BB","Boothby","C",233,4,"Cirsium_vulgare",4,"","A"
"1012","27/6/2024","BB","Boothby","C",233,4,"Packera_aurea",3,"","A"
"1014","27/6/2024","BB","Boothby","C",233,4,"Epilobium_hirsutum",6,"","A"
"1015","27/6/2024","BB","Boothby","C",233,4,"Ranunculus_repens",2,"","A"
"1016","28/6/2024","TM","Boothby","NE",233,1,"Triticum_aestivum",15,"","A"
"1017","28/6/2024","TM","Boothby","NE",233,1,"Matricaria_chamomilla",20,"","A"
"1018","28/6/2024","TM","Boothby","NE",233,1,"Senecio_vulgaris",2,"","A"
"1019","28/6/2024","TM","Boothby","NE",233,1,"Helminthotheca_echiodes",3,"","A"
"1020","28/6/2024","TM","Boothby","NE",233,1,"Sonchus_arvensis",2,"","A"
"1022","28/6/2024","TM","Boothby","NE",233,2,"Triticum_aestivum",40,"","A"
"1023","28/6/2024","TM","Boothby","NE",233,2,"Fagopyrum_tataricum",1,"","A"
"1024","28/6/2024","TM","Boothby","NE",233,2,"Taraxacum_officinale",1,"","A"
"1026","28/6/2024","TM","Boothby","NE",233,3,"Triticum_aestivum",65,"","A"
"1028","28/6/2024","TM","Boothby","NE",233,4,"Triticum_aestivum",70,"","A"
"1030","28/6/2024","TM","Boothby","NE",222,1,"Epilobium_coloratum",15,"","A"
"1031","28/6/2024","TM","Boothby","NE",222,1,"Helminthotheca_echiodes",20,"","A"
"1032","28/6/2024","TM","Boothby","NE",222,1,"Viola_arvensis",10,"","A"
"1033","28/6/2024","TM","Boothby","NE",222,1,"Epilobium_Parviflorum",5,"","A"
"1034","28/6/2024","TM","Boothby","NE",222,1,"Lolium_perenne",15,"","A"
"1035","28/6/2024","TM","Boothby","NE",222,1,"Fallopia_convolvulus",2,"","A"
"1037","28/6/2024","TM","Boothby","NE",222,2,"Epilobium_coloratum",10,"","A"
"1038","28/6/2024","TM","Boothby","NE",222,2,"Epilobium_hirsutum",20,"","A"
"1039","28/6/2024","TM","Boothby","NE",222,2,"Epilobium_tetragonum",5,"","A"
"1040","28/6/2024","TM","Boothby","NE",222,2,"Epilobium_montanum",5,"","A"
"1041","28/6/2024","TM","Boothby","NE",222,2,"Viola_arvensis",5,"","A"
"1042","28/6/2024","TM","Boothby","NE",222,2,"Lolium_perenne",5,"","A"
"1044","28/6/2024","TM","Boothby","NE",222,3,"Epilobium_coloratum",15,"","A"
"1045","28/6/2024","TM","Boothby","NE",222,3,"Epilobium_hirsutum",25,"","A"
"1046","28/6/2024","TM","Boothby","NE",222,3,"Helminthotheca_echiodes",10,"","A"
"1047","28/6/2024","TM","Boothby","NE",222,3,"Brassica_napus",7,"","A"
"1049","28/6/2024","TM","Boothby","NE",222,4,"Epilobium_coloratum",20,"","A"
"1050","28/6/2024","TM","Boothby","NE",222,4,"Epilobium_tetragonum",30,"","A"
"1051","28/6/2024","TM","Boothby","NE",222,4,"Epilobium_montanum",5,"","A"
"1052","28/6/2024","TM","Boothby","NE",222,4,"Brassica_napus",5,"","A"
"1053","28/6/2024","TM","Boothby","NE",222,4,"Epilobium_hirsutum",5,"","A"
"1055","28/6/2024","TM","Boothby","NE",212,1,"Triticum_aestivum",45,"","A"
"1056","28/6/2024","TM","Boothby","NE",212,1,"Raphanus_raphanistrum",1,"","A"
"1057","28/6/2024","TM","Boothby","NE",212,1,"Senecio_vulgaris",2,"","A"
"1058","28/6/2024","TM","Boothby","NE",212,1,"Atriplex_patula",3,"","A"
"1060","28/6/2024","TM","Boothby","NE",212,2,"Triticum_aestivum",10,"","A"
"1061","28/6/2024","TM","Boothby","NE",212,2,"Senecio_vulgaris",1,"","A"
"1062","28/6/2024","TM","Boothby","NE",212,2,"Atriplex_patula",5,"","A"
"1063","28/6/2024","TM","Boothby","NE",212,2,"Raphanus_raphanistrum",2,"","A"
"1065","28/6/2024","TM","Boothby","NE",212,3,"Triticum_aestivum",35,"","A"
"1066","28/6/2024","TM","Boothby","NE",212,3,"Epilobium_hirsutum",25,"","A"
"1067","28/6/2024","TM","Boothby","NE",212,3,"Senecio_doria",4,"","A"
"1069","28/6/2024","TM","Boothby","NE",212,4,"Triticum_aestivum",45,"","A"
"1070","28/6/2024","TM","Boothby","NE",212,4,"Atriplex_patula",5,"","A"
"1072","28/6/2024","TM","Boothby","NE",213,1,"Holcus_lanatus",30,"","A"
"1073","28/6/2024","TM","Boothby","NE",213,1,"Dactylis_glomerata",5,"","A"
"1074","28/6/2024","TM","Boothby","NE",213,1,"Arrhenatherum_elatius",30,"","A"
"1075","28/6/2024","TM","Boothby","NE",213,1,"Poa_trivialis",15,"","A"
"1076","28/6/2024","TM","Boothby","NE",213,1,"Urtica_dioica",3,"","A"
"1077","28/6/2024","TM","Boothby","NE",213,1,"Anthriscus_caucalis",4,"","A"
"1078","28/6/2024","TM","Boothby","NE",213,1,"Rumex_obtusifolius",5,"","A"
"1079","28/6/2024","TM","Boothby","NE",213,1,"Stachys_sylvatica",6,"","A"
"1080","28/6/2024","TM","Boothby","NE",213,1,"Cirsium_arvense",5,"","A"
"1081","28/6/2024","TM","Boothby","NE",213,1,"Epilobium_parviflorum",3,"","A"
"1083","28/6/2024","TM","Boothby","NE",213,2,"Holcus_lanatus",30,"","A"
"1084","28/6/2024","TM","Boothby","NE",213,2,"Dactylis_glomerata",15,"","A"
"1085","28/6/2024","TM","Boothby","NE",213,2,"Arrhenatherum_elatius",10,"","A"
"1086","28/6/2024","TM","Boothby","NE",213,2,"Poa_trivialis",5,"","A"
"1087","28/6/2024","TM","Boothby","NE",213,2,"Urtica_dioica",5,"","A"
"1088","28/6/2024","TM","Boothby","NE",213,2,"Rumex_obtusifolius",5,"","A"
"1089","28/6/2024","TM","Boothby","NE",213,2,"Cirsium_arvense",40,"","A"
"1091","28/6/2024","TM","Boothby","NE",213,3,"Holcus_lanatus",5,"","A"
"1092","28/6/2024","TM","Boothby","NE",213,3,"Dactylis_glomerata",5,"","A"
"1093","28/6/2024","TM","Boothby","NE",213,3,"Arrhenatherum_elatius",50,"","A"
"1094","28/6/2024","TM","Boothby","NE",213,3,"Poa_trivialis",15,"","A"
"1095","28/6/2024","TM","Boothby","NE",213,3,"Urtica_dioica",10,"","A"
"1096","28/6/2024","TM","Boothby","NE",213,3,"Rumex_obtusifolius",6,"","A"
"1097","28/6/2024","TM","Boothby","NE",213,3,"Cirsium_arvense",8,"","A"
"1098","28/6/2024","TM","Boothby","NE",213,3,"Epilobium_hirsutum",10,"","A"
"1099","28/6/2024","TM","Boothby","NE",213,3,"Epilobium_parviflorum",3,"","A"
"1100","28/6/2024","TM","Boothby","NE",213,3,"Rubus_pruinosus",2,"","A"
"1101","28/6/2024","TM","Boothby","NE",213,3,"Bromus_sterilis",2,"","A"
"1103","28/6/2024","TM","Boothby","NE",213,4,"Holcus_lanatus",10,"","A"
"1104","28/6/2024","TM","Boothby","NE",213,4,"Dactylis_glomerata",5,"","A"
"1105","28/6/2024","TM","Boothby","NE",213,4,"Arrhenatherum_elatius",5,"","A"
"1106","28/6/2024","TM","Boothby","NE",213,4,"Poa_trivialis",5,"","A"
"1107","28/6/2024","TM","Boothby","NE",213,4,"Urtica_dioica",4,"","A"
